,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
535,2023-05-04,14386.542568565194,8075.34588910143,21463.028574333624,13866.944754558628,14945.933612202425,637.5557131562412,637.5557131562412,637.5557131562412,-4501.97218039475,-4501.97218039475,-4501.97218039475,5139.5278935509905,5139.5278935509905,5139.5278935509905,0.0,0.0,0.0,15024.098281721435
536,2023-05-05,14357.473519356263,11681.809812407435,25266.450692844446,13831.04875336377,14920.958192454222,3933.7463291696995,3933.7463291696995,3933.7463291696995,-1284.3167633853686,-1284.3167633853686,-1284.3167633853686,5218.063092555068,5218.063092555068,5218.063092555068,0.0,0.0,0.0,18291.21984852596
537,2023-05-06,14328.404470147345,14768.707449710728,27938.103345593947,13797.039790572233,14896.395301028624,7269.680580251713,7269.680580251713,7269.680580251713,1978.632520258648,1978.632520258648,1978.632520258648,5291.048059993063,5291.048059993063,5291.048059993063,0.0,0.0,0.0,21598.08505039906
538,2023-05-07,14299.335420938416,15210.368670016935,28271.816847955106,13762.709056145615,14871.832409603036,7335.981916733079,7335.981916733079,7335.981916733079,1978.6325194121969,1978.6325194121969,1978.6325194121969,5357.349397320882,5357.349397320882,5357.349397320882,0.0,0.0,0.0,21635.317337671495
539,2023-05-08,14270.266371729485,13380.129391882612,27222.411656858363,13727.14778628654,14847.269518177449,5990.860809488963,5990.860809488963,5990.860809488963,574.9419354788716,574.9419354788716,574.9419354788716,5415.918874010093,5415.918874010093,5415.918874010093,0.0,0.0,0.0,20261.12718121845
540,2023-05-09,14241.197322520557,15073.297901457967,28308.053797109045,13692.165106295277,14822.706626751862,6699.4934732491865,6699.4934732491865,6699.4934732491865,1233.6568414774558,1233.6568414774558,1233.6568414774558,5465.83663177173,5465.83663177173,5465.83663177173,0.0,0.0,0.0,20940.690795769744
541,2023-05-10,14212.128273311626,13066.386929065471,25959.199863180795,13657.542206748933,14795.829264160746,5526.7763073462265,5526.7763073462265,5526.7763073462265,20.42512716104279,20.42512716104279,20.42512716104279,5506.351180185184,5506.351180185184,5506.351180185184,0.0,0.0,0.0,19738.90458065785
542,2023-05-11,14183.059224102708,8550.408531586816,22092.610301453762,13623.097251353278,14769.342655255876,1034.942523329515,1034.942523329515,1034.942523329515,-4501.972180396267,-4501.972180396267,-4501.972180396267,5536.914703725783,5536.914703725783,5536.914703725783,0.0,0.0,0.0,15218.001747432223
543,2023-05-12,14153.99017489378,11580.156504743103,25367.793438200668,13588.697081493221,14743.7082853055,4272.89555807128,4272.89555807128,4272.89555807128,-1284.316763380822,-1284.316763380822,-1284.316763380822,5557.2123214521025,5557.2123214521025,5557.2123214521025,0.0,0.0,0.0,18426.88573296506
544,2023-05-13,14124.921125684848,15190.973680741728,28047.792680061903,13554.952068700612,14717.043479533702,7545.816627699876,7545.816627699876,7545.816627699876,1978.6325202608225,1978.6325202608225,1978.6325202608225,5567.184107439053,5567.184107439053,5567.184107439053,0.0,0.0,0.0,21670.737753384725
