Date,price
2020-02/2,1552.60
2020-02/3,1538.50
2020-02/4,1530.50
2020-03/1,1519.50
2020-03/2,1503.80
2020-03/3,1472.30
2020-03/4,1430.50
2020-04/1,1391.60
2020-04/2,1357.30
2020-04/3,1330.80
2020-04/4,1301.80
2020-04/5,1274.50
2020-05/1,1257.70
2020-05/2,1249.30
2020-05/3,1248.90
2020-05/4,1258.60
2020-06/1,1276.10
2020-06/2,1305.60
2020-06/3,1329.90
2020-06/4,1346.30
2020-07/1,1355.40
2020-07/2,1359.40
2020-07/3,1360.80
2020-07/4,1361.10
2020-07/5,1361.00
2020-08/1,1361.20
2020-08/2,1361.10
2020-08/3,1361.20
2020-08/4,1361.10
2020-09/1,1360.50
2020-09/2,1359.10
2020-09/3,1354.00
2020-09/4,1342.50
2020-09/5,1342.50
2020-10/1,1338.40
2020-10/2,1334.60
2020-10/3,1331.30
2020-10/4,1328.00
2020-11/1,1322.20
2020-11/2,1318.30
2020-11/3,1317.40
2020-11/4,1318.80
2020-12/1,1327.00
2020-12/2,1339.10
2020-12/3,1357.70
2020-12/4,1389.40
2020-12/5,1413.50
2021-01/1,1430.10
2021-01/2,1439.30
2021-01/3,1447.20
2021-01/4,1450.50
2021-02/1,1452.00
2021-02/2,1455.90
2021-02/3,1463.20
2021-02/4,1473.30
2021-03/1,1483.00
2021-03/2,1498.60
2021-03/3,1517.40
2021-03/4,1530.00
2021-03/5,1533.90
2021-04/1,1535.00
2021-04/2,1534.90
2021-04/3,1534.30
2021-04/4,1534.00
2021-05/1,1534.40
2021-05/2,1537.00
2021-05/3,1542.60
2021-05/4,1547.50
2021-06/1,1554.10
2021-06/2,1564.60
2021-06/3,1576.20
2021-06/4,1587.60
2021-06/5,1601.00
2021-07/1,1615.00
2021-07/2,1628.20
2021-07/3,1637.30
2021-07/4,1641.10
2021-08/1,1645.10
2021-08/2,1647.30
2021-08/3,1647.10
2021-08/4,1644.80
2021-09/1,1643.40
2021-09/2,1642.30
2021-09/3,1641.80
2021-09/4,1642.60
2021-09/5,1644.60
2021-10/1,1654.50
2021-10/2,1687.20
2021-10/3,1732.50
2021-10/4,1762.80
2021-11/1,1788.00
2021-11/2,1807.00
2021-11/3,1716.60
2021-11/4,1687.50
2021-12/1,1677.70
2021-12/2,1664.70
2021-12/3,1648.90
2021-12/4,1634.60
2021-12/5,1626.20
2022-01/1,1622.40
2022-01/2,1621.90
2022-01/3,1632.00
2022-01/4,1651.00
2022-02/1,1667.60
2022-02/2,1691.80
2022-02/3,1718.40
2022-02/4,1739.80
2022-03/1,1764.00
2022-03/2,1861.60
2022-03/3,1994.40
2022-03/4,2001.90
2022-03/5,2000.10
2022-04/1,1990.50
2022-04/2,1977.20
2022-04/3,1967.80
2022-04/4,1968.20
2022-05/1,1940.70
2022-05/2,1942.60
2022-05/3,1940.70
2022-05/4,1993.80
2022-06/1,2013.00
2022-06/2,2037.50
2022-06/3,2080.90
2022-06/4,2115.80
2022-06/5,2137.70
2022-07/1,2116.80
2022-07/2,2080.70
2022-07/3,2013.10
2022-07/4,1937.70
2022-08/1,1881.90
2022-08/2,1833.20
2022-08/3,1780.20
2022-08/4,1743.80
2022-08/5,1740.30
2022-09/1,1741.20

