,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-09-23,57237.2013751643,56971.05782094148,57518.144303151705,57237.2013751643,57237.2013751643,2.1518153479001043,2.1518153479001043,2.1518153479001043,2.1518153479001043,2.1518153479001043,2.1518153479001043,0.0,0.0,0.0,57239.3531905122
1,2021-09-24,57212.574395184114,56920.819102963746,57474.44779918563,57212.574395184114,57212.574395184114,-6.852146681652378,-6.852146681652378,-6.852146681652378,-6.852146681652378,-6.852146681652378,-6.852146681652378,0.0,0.0,0.0,57205.72224850246
2,2021-09-27,57138.69345524357,56884.867635187926,57413.690101571345,57138.69345524357,57138.69345524357,8.896050976046642,8.896050976046642,8.896050976046642,8.896050976046642,8.896050976046642,8.896050976046642,0.0,0.0,0.0,57147.589506219614
3,2021-09-28,57114.06647526338,56862.066916204734,57404.370599358626,57114.06647526338,57114.06647526338,5.267833943282842,5.267833943282842,5.267833943282842,5.267833943282842,5.267833943282842,5.267833943282842,0.0,0.0,0.0,57119.334309206664
4,2021-09-29,57089.4394952832,56804.725200560635,57356.504524068565,57089.4394952832,57089.4394952832,-13.776401599026762,-13.776401599026762,-13.776401599026762,-13.776401599026762,-13.776401599026762,-13.776401599026762,0.0,0.0,0.0,57075.663093684176
5,2021-09-30,57064.81251530302,56814.26666447802,57325.12058893901,57064.81251530302,57064.81251530302,2.1518153479032285,2.1518153479032285,2.1518153479032285,2.1518153479032285,2.1518153479032285,2.1518153479032285,0.0,0.0,0.0,57066.964330650924
6,2021-10-01,57040.18553532284,56761.73821498815,57308.40067179432,57040.18553532284,57040.18553532284,-6.852146681648608,-6.852146681648608,-6.852146681648608,-6.852146681648608,-6.852146681648608,-6.852146681648608,0.0,0.0,0.0,57033.33338864119
7,2021-10-05,56941.67761540211,56662.94197757033,57211.113823897664,56941.67761540211,56941.67761540211,5.267833943281882,5.267833943281882,5.267833943281882,5.267833943281882,5.267833943281882,5.267833943281882,0.0,0.0,0.0,56946.945449345396
8,2021-10-06,56917.05063542193,56637.13189661754,57183.2424153162,56917.05063542193,56917.05063542193,-13.77640159901109,-13.77640159901109,-13.77640159901109,-13.77640159901109,-13.77640159901109,-13.77640159901109,0.0,0.0,0.0,56903.27423382292
9,2021-10-07,56816.272114757645,56558.936344875576,57087.30829503815,56816.272114757645,56816.272114757645,2.1518153479110653,2.1518153479110653,2.1518153479110653,2.1518153479110653,2.1518153479110653,2.1518153479110653,0.0,0.0,0.0,56818.42393010556
10,2021-10-08,56715.49359409336,56447.60315381514,56987.4398846889,56715.49359409336,56715.49359409336,-6.852146681660902,-6.852146681660902,-6.852146681660902,-6.852146681660902,-6.852146681660902,-6.852146681660902,0.0,0.0,0.0,56708.6414474117
11,2021-10-12,56312.37951143621,56054.26621978525,56582.857261526784,56312.37951143621,56312.37951143621,5.267833943280924,5.267833943280924,5.267833943280924,5.267833943280924,5.267833943280924,5.267833943280924,0.0,0.0,0.0,56317.64734537949
12,2021-10-13,56211.60099077193,55930.60559010253,56466.5740830362,56211.60099077193,56211.60099077193,-13.776401599040984,-13.776401599040984,-13.776401599040984,-13.776401599040984,-13.776401599040984,-13.776401599040984,0.0,0.0,0.0,56197.82458917289
